Hospital Name,Latitude,Longitude,Hospital Network,State
University Indiana Hospital,34.664939091957756,-74.87509537238705,Cleveland Clinic,Nevada
Mercy Hawaii Medical Center,27.726352296935232,-69.8289278117605,Cleveland Clinic,South Dakota
Community Montana Healthcare,36.353203269212266,-69.00319535329702,Cleveland Clinic,Wisconsin
Regional Pennsylvania Medical Center,39.15083558579912,-84.69644259387434,Dignity Health,Idaho
Community New Hampshire Health Center,46.035692872091886,-122.78559235252926,Ascension,Minnesota
Mercy California Clinic,30.62529486841458,-79.6568690477433,Trinity Health,Missouri
Regional Kentucky Medical Center,41.442099955802874,-121.10521900136303,Cleveland Clinic,Arkansas
St. Colorado Infirmary,40.33651572824572,-82.61145728864719,Ascension,Montana
St. Kansas Healthcare,28.578757512413237,-102.41412701959354,Tenet Healthcare,Georgia
Community Tennessee Health Center,38.63841162815859,-111.74493357372467,Cleveland Clinic,Michigan
General Louisiana Healthcare,43.400049034274225,-88.26518866172407,Providence,Missouri
Memorial South Dakota Medical Center,37.1072127681346,-96.69103067790878,CommonSpirit Health,Wyoming
St. Utah Hospital,33.68611773761991,-76.47672789727207,Providence,Delaware
Children's Idaho Clinic,37.992194036687465,-77.47022543224324,Providence,Michigan
Community Maryland Infirmary,37.769706797778156,-108.9830715539819,Mayo Clinic,Maine
Memorial Georgia Healthcare,33.54873674218348,-101.58005140089033,Providence,Maine
University Iowa Medical Center,34.60578840020218,-96.40562721159263,Advocate Aurora Health,New Mexico
Mercy Montana Infirmary,40.99036034855058,-121.19597473765369,Trinity Health,Minnesota
Community New York Infirmary,48.89704744124293,-101.80211043186183,HCA Healthcare,Maine
University Oklahoma Infirmary,46.98296847416139,-93.81193572784841,Tenet Healthcare,Pennsylvania
University Arizona Hospital,47.53801370672631,-69.41088259284521,HCA Healthcare,West Virginia
Memorial Pennsylvania Medical Center,47.75001197645268,-115.39726412242203,Cleveland Clinic,Arkansas
General Minnesota Hospital,28.381707758863474,-112.90023260563225,Dignity Health,Maryland
St. Ohio Medical Center,42.147326704216425,-118.71926421463424,Advocate Aurora Health,New Hampshire
University Utah Hospital,42.57365830025615,-106.3904475866754,Mayo Clinic,Washington
Regional Wisconsin Health Center,29.969962494284335,-117.85131052819773,HCA Healthcare,Nevada
Memorial New Hampshire Medical Center,33.830518429704604,-77.77358396361797,Trinity Health,Delaware
St. Alabama Infirmary,49.25231832765476,-80.81875801203503,Tenet Healthcare,Iowa
Memorial Wisconsin Infirmary,34.79489207397202,-124.62758260469197,Providence,New Jersey
Community Tennessee Hospital,39.0817558176616,-106.6990139826366,Cleveland Clinic,Texas
Children's West Virginia Medical Center,42.03735587744189,-104.69251147965333,CommonSpirit Health,Maine
Memorial New Mexico Health Center,39.139991316702854,-100.15818510601909,Cleveland Clinic,West Virginia
Memorial Wisconsin Health Center,29.8721037232226,-68.83650960005741,Mayo Clinic,Connecticut
General New Mexico Hospital,28.234945718479896,-95.95044728741081,Mayo Clinic,Florida
Memorial Utah Hospital,46.253975472084925,-124.40458219140132,Cleveland Clinic,Ohio
St. Colorado Medical Center,40.534924516413874,-89.22077855206331,HCA Healthcare,Oklahoma
Memorial Michigan Healthcare,28.83401744085181,-85.29721133754177,Tenet Healthcare,Florida
Community Vermont Hospital,24.471720095267873,-92.85012965928527,Ascension,Hawaii
General Alabama Health Center,28.281798634417296,-97.76722599246008,Mayo Clinic,Massachusetts
Memorial Idaho Infirmary,29.642799615045483,-88.75699334709438,CommonSpirit Health,Connecticut
Mercy Nebraska Infirmary,29.62382282694447,-89.37877808648082,Cleveland Clinic,Tennessee
General Colorado Health Center,31.348802970824103,-101.69900632402157,Providence,Illinois
Mercy Florida Infirmary,31.36174970884866,-117.55403942884732,Cleveland Clinic,Connecticut
St. Louisiana Healthcare,47.06172916984703,-84.47701564576113,Cleveland Clinic,Montana
University Hawaii Medical Center,40.52710594822801,-105.0051909756073,Dignity Health,Idaho
Mercy Nebraska Health Center,25.694120294198182,-123.82394811249192,HCA Healthcare,Wisconsin
Mercy Delaware Clinic,45.20997699164316,-108.41912933911897,Providence,Alabama
St. Massachusetts Clinic,25.504911832850002,-67.51355915492042,CommonSpirit Health,South Dakota
Memorial Nebraska Medical Center,35.7303599896656,-67.59709002518349,Ascension,West Virginia
Mercy Nevada Healthcare,38.12403459489582,-118.05552684184231,Providence,Florida
University Connecticut Medical Center,49.23515155059492,-72.12668787378715,Dignity Health,Mississippi
Community New York Medical Center,29.374935417514415,-108.04434379424438,Dignity Health,Michigan
Children's Connecticut Health Center,42.52084958380111,-97.0128133789433,Ascension,California
Memorial Ohio Medical Center,46.39269094998966,-108.29591599210904,Cleveland Clinic,New Jersey
University Virginia Hospital,44.60225233995831,-71.5095779774925,Ascension,Oregon
University Montana Infirmary,28.215807462286996,-122.0905569193761,HCA Healthcare,South Dakota
Children's Oklahoma Medical Center,42.30388129785491,-107.89535169697837,CommonSpirit Health,Oklahoma
Community Mississippi Hospital,42.66337452284201,-69.68484190325644,Dignity Health,Oklahoma
Regional Oregon Healthcare,44.05938757975481,-105.59210411772868,Cleveland Clinic,Maine
University Utah Clinic,27.13477753817459,-89.7705752269596,Ascension,Florida
St. Hawaii Clinic,35.069941874432374,-110.23265401800606,Tenet Healthcare,New Jersey
St. New Mexico Hospital,33.24369518625011,-95.47158190100123,Dignity Health,Idaho
General South Carolina Hospital,25.30468938305266,-82.01954435979486,Trinity Health,Arizona
General Massachusetts Clinic,41.482167562525106,-107.55996237967355,Trinity Health,Idaho
Regional Utah Medical Center,34.21398964842407,-111.99763383143794,Mayo Clinic,Georgia
Mercy Alabama Medical Center,28.06122263690289,-72.25273057867919,Mayo Clinic,Indiana
University Nevada Infirmary,35.10829473089406,-97.52045025997853,HCA Healthcare,Alaska
Regional Michigan Health Center,33.41361993222812,-89.73289334531111,Providence,Utah
St. Oklahoma Health Center,25.50397342060505,-74.6823866090529,HCA Healthcare,Mississippi
Children's Colorado Hospital,36.85973345629147,-75.92100708786397,HCA Healthcare,California
St. Indiana Clinic,41.503534742670354,-90.19713247921698,Providence,Nevada
Children's Delaware Healthcare,33.699890084335884,-77.40700293873158,CommonSpirit Health,Texas
Children's West Virginia Healthcare,37.241962059248166,-106.72303392267023,Ascension,Maine
Memorial Wyoming Healthcare,30.733561853728958,-94.03295040777417,Dignity Health,New Jersey
Children's West Virginia Healthcare,44.987869215826976,-84.29470953137502,Trinity Health,Colorado
University Idaho Medical Center,32.28998661606342,-99.924948921487,Advocate Aurora Health,Louisiana
Memorial Idaho Healthcare,25.32848442105628,-79.0300043869461,HCA Healthcare,Nebraska
University Alabama Clinic,33.02187394588025,-101.64297944471298,Dignity Health,Maryland
Children's South Carolina Health Center,47.35358532683903,-80.34118413941485,Ascension,Virginia
St. Alabama Clinic,38.48174057731838,-124.58851922118227,Trinity Health,North Carolina
University South Dakota Clinic,36.69067294889365,-75.93478924364626,HCA Healthcare,Kentucky
Community South Carolina Medical Center,34.15319418238235,-106.42031499697868,HCA Healthcare,North Carolina
Memorial Nevada Health Center,43.282933769810924,-76.20082335573224,Dignity Health,Iowa
St. New Hampshire Medical Center,49.013050977376025,-84.16671264211882,Dignity Health,Connecticut
University Nebraska Health Center,36.79689138652213,-69.47693223069959,Cleveland Clinic,Wyoming
Children's Massachusetts Clinic,40.488210004691084,-67.7809841762239,Advocate Aurora Health,Michigan
University Florida Medical Center,27.044537148060325,-75.70605581936002,Advocate Aurora Health,Alaska
St. Pennsylvania Clinic,33.25002569607109,-122.79784407982729,Cleveland Clinic,North Dakota
Mercy Mississippi Hospital,34.267264103601384,-75.94159576521308,Providence,Utah
Mercy South Carolina Hospital,30.042358320005523,-122.54547854372613,HCA Healthcare,North Carolina
Memorial Rhode Island Hospital,32.28088606272242,-79.20832355393026,Ascension,Mississippi
St. Nevada Health Center,27.594854271400582,-81.97560542996051,Ascension,Wyoming
Memorial South Carolina Healthcare,41.515789426712615,-77.14943053944984,Mayo Clinic,Idaho
St. Nebraska Healthcare,29.90618728115038,-93.6770731926874,Dignity Health,Washington
Regional Illinois Health Center,37.08082147088241,-101.9496525421288,Mayo Clinic,Idaho
Community Rhode Island Infirmary,40.741777487617355,-83.01772244883901,Providence,Washington
Memorial California Infirmary,38.7357933213406,-104.0233492119814,CommonSpirit Health,Oklahoma
Mercy Ohio Clinic,35.10355247056014,-94.9830604740333,Advocate Aurora Health,New York
Community Maryland Medical Center,42.30323096496501,-112.6816587951378,Providence,Kentucky
Memorial Arizona Hospital,45.936275203997354,-93.69934836983407,Ascension,Wisconsin
General Massachusetts Healthcare,47.06421219548531,-124.3261544243216,HCA Healthcare,North Carolina
Children's Maine Clinic,33.65715081607379,-83.17621149258095,CommonSpirit Health,Florida
Community Missouri Medical Center,34.53079997039552,-100.15936689120984,Trinity Health,Iowa
Community Tennessee Hospital,42.9236522956831,-84.79404984575295,HCA Healthcare,California
St. Florida Hospital,47.71795833299504,-97.73143242046848,Mayo Clinic,Mississippi
Children's New Hampshire Infirmary,42.88233520771933,-101.74916918870254,Trinity Health,North Carolina
Community Louisiana Medical Center,31.675638227042185,-102.36140367300041,Advocate Aurora Health,Minnesota
Children's Alabama Infirmary,27.381480807744033,-69.53822887427047,Tenet Healthcare,North Carolina
Mercy California Medical Center,41.20865079849176,-101.81103456666499,HCA Healthcare,Pennsylvania
Children's Washington Hospital,34.311943000059465,-76.28563543733216,Providence,North Carolina
Regional Missouri Medical Center,37.44982922063606,-79.67887560414424,Ascension,Iowa
General Georgia Healthcare,26.539834256936494,-116.01286680814741,Dignity Health,New Jersey
St. Idaho Clinic,25.537068567501777,-104.90560247957032,Trinity Health,North Dakota
Memorial Louisiana Clinic,49.114481614087154,-114.70543032608478,CommonSpirit Health,Illinois
General Mississippi Medical Center,44.5280751491385,-110.30116591959643,HCA Healthcare,Alabama
Mercy California Infirmary,24.671217271036436,-113.70970782361812,Providence,Maine
Children's Oregon Hospital,37.30042697370909,-102.72054192562491,Tenet Healthcare,Oregon
Regional Utah Clinic,42.7920287437973,-106.08677528758722,CommonSpirit Health,Maine
General Kentucky Healthcare,42.757035795696325,-69.63351325146553,HCA Healthcare,Rhode Island
University Wisconsin Health Center,33.90524407406858,-75.56794843464081,Ascension,New Hampshire
Memorial Tennessee Healthcare,45.75803403511875,-97.90213677329655,Dignity Health,Arizona
Memorial California Clinic,29.283857187869934,-102.10188330582088,Advocate Aurora Health,Wisconsin
St. Arizona Clinic,48.80382549615187,-114.5119795480259,Cleveland Clinic,West Virginia
Children's Iowa Infirmary,36.76358802431394,-108.83607529589489,Tenet Healthcare,Minnesota
Mercy South Dakota Medical Center,38.383415112585865,-88.74461235887753,Providence,Wyoming
St. Pennsylvania Infirmary,43.67905720511123,-118.87253487770191,CommonSpirit Health,South Carolina
Memorial Missouri Health Center,26.09661671894212,-85.42116819628154,Advocate Aurora Health,North Carolina
University Michigan Hospital,36.9554528364733,-120.72691853589862,Tenet Healthcare,Wisconsin
Mercy Louisiana Infirmary,27.725509816340548,-69.91675058386278,Providence,New Jersey
Regional Missouri Infirmary,25.89494354255179,-81.14184496455272,Dignity Health,Alaska
Memorial Iowa Healthcare,27.11882813961021,-76.03210041697123,Tenet Healthcare,Rhode Island
Regional Ohio Medical Center,37.83016190977531,-80.78966112092766,HCA Healthcare,Virginia
Mercy Florida Hospital,49.154494315581076,-74.05479283834308,Ascension,Ohio
Memorial Rhode Island Medical Center,24.69758065765945,-123.66734156159313,Providence,Arizona
St. Nebraska Clinic,44.09846851748095,-97.1494076127481,CommonSpirit Health,Ohio
Mercy Illinois Healthcare,45.36024461170299,-87.7528413162319,Advocate Aurora Health,Nebraska
University California Infirmary,43.42078427606151,-76.01055131497817,Advocate Aurora Health,Nevada
University Florida Clinic,48.32585779247642,-85.58098883585171,Cleveland Clinic,Ohio
University Oklahoma Clinic,33.52187154029501,-82.55942539154401,Advocate Aurora Health,Rhode Island
General Utah Health Center,39.37243848130957,-85.02487584951407,Advocate Aurora Health,Indiana
Community Nebraska Hospital,43.39561742372028,-104.1265568971171,Trinity Health,Colorado
University Louisiana Health Center,37.24442674708615,-75.28821214579892,CommonSpirit Health,Louisiana
Regional Utah Infirmary,38.336631725424375,-77.49793188584957,Dignity Health,Ohio
Mercy Hawaii Infirmary,46.28978651720443,-75.82625578478661,Advocate Aurora Health,Minnesota
Memorial Kansas Health Center,28.750845076733654,-81.72039142179379,Providence,Oregon
Community New York Infirmary,30.437533369681603,-114.98818835041247,Cleveland Clinic,New Jersey
General Colorado Medical Center,46.125936259059685,-120.7590813903407,Cleveland Clinic,Oklahoma
Community New York Medical Center,26.81150706310765,-116.91095246016444,HCA Healthcare,California
Mercy Kansas Healthcare,46.321126356021765,-82.9120066881467,Trinity Health,Missouri
Community Idaho Infirmary,34.633647935691144,-99.78604731266579,Trinity Health,Massachusetts
St. Rhode Island Infirmary,45.43796468959502,-77.13899686136165,Advocate Aurora Health,Maine
Memorial Mississippi Hospital,36.218527476833415,-84.04524718461838,Ascension,Oklahoma
Children's Virginia Health Center,30.388156381782196,-70.21443970344615,Tenet Healthcare,Alaska
Children's Massachusetts Clinic,46.987021437361705,-82.50673495524482,Advocate Aurora Health,Wisconsin
Mercy North Dakota Hospital,48.853495205119124,-123.34020964485967,Mayo Clinic,Illinois
Mercy Utah Hospital,40.652500932788534,-115.5067559314884,CommonSpirit Health,Nebraska
University Iowa Hospital,46.706190689651876,-79.3936342770208,Mayo Clinic,Montana
Children's West Virginia Healthcare,48.02808084439947,-118.50122162003105,HCA Healthcare,Idaho
Community Arizona Medical Center,38.93804965065219,-101.62167675272242,Ascension,Arkansas
Children's Washington Health Center,35.71624755134142,-83.07386163362165,Advocate Aurora Health,Louisiana
University New Jersey Healthcare,48.946669802341255,-93.51606575461794,Cleveland Clinic,New Hampshire
St. Idaho Clinic,31.87163646976299,-100.76648236975706,Ascension,Arizona
Memorial New Hampshire Infirmary,43.505271946496,-90.78414183268775,Advocate Aurora Health,Alaska
Regional Louisiana Clinic,36.80883032859555,-80.11527315851106,HCA Healthcare,Ohio
Community Delaware Clinic,45.85784145714571,-90.75337816885036,Mayo Clinic,Maryland
General Ohio Health Center,44.23464123218257,-103.48179100996299,Ascension,Maryland
St. Pennsylvania Healthcare,28.730814665916682,-88.457082231646,Trinity Health,South Dakota
Regional Kansas Health Center,29.748652567793613,-98.16832719153278,Trinity Health,New Hampshire
Mercy Arizona Health Center,38.535387975903035,-73.51075273924671,Tenet Healthcare,Pennsylvania
Children's West Virginia Medical Center,40.787647084376104,-113.100449688942,Ascension,Utah
St. Pennsylvania Health Center,39.08541793389327,-120.75768339395285,CommonSpirit Health,North Dakota
General Texas Health Center,26.108369161900903,-119.13814443575752,Dignity Health,Louisiana
Regional Rhode Island Clinic,28.506238901260996,-116.34954361336503,Cleveland Clinic,Delaware
St. North Carolina Health Center,43.67822331759155,-115.2201737717708,Ascension,Oklahoma
University Mississippi Healthcare,39.92148049924564,-107.37907898643674,HCA Healthcare,North Dakota
Community Arizona Infirmary,27.802655141031607,-102.63156244371008,Dignity Health,Kentucky
Mercy Nebraska Infirmary,43.59016749361573,-106.7648361222213,Trinity Health,Indiana
Children's Florida Infirmary,39.407547624945536,-104.64414285276048,Tenet Healthcare,Wyoming
University Wisconsin Health Center,49.310380957640525,-111.36739322291349,Providence,Louisiana
St. New York Health Center,44.48712179486898,-104.49006412451406,Dignity Health,New York
Children's Alabama Infirmary,40.910532154780384,-114.58112474606105,Cleveland Clinic,Kansas
Mercy Tennessee Health Center,29.417193449579838,-118.95602200917837,CommonSpirit Health,South Dakota
General North Carolina Infirmary,38.28595361903045,-118.58565393932156,CommonSpirit Health,Iowa
St. Colorado Hospital,33.582252065409875,-77.02577549020664,Mayo Clinic,Maryland
Regional Wyoming Infirmary,24.912511305386936,-68.27221181919619,Advocate Aurora Health,Colorado
Children's Nebraska Health Center,36.572354863792754,-69.50828145791476,Trinity Health,North Dakota
Mercy Maryland Clinic,43.4967650813857,-109.59123199035108,Advocate Aurora Health,Rhode Island
University Arizona Healthcare,44.243223704120915,-86.11328546616602,Providence,North Dakota
Children's Missouri Healthcare,33.593265244772866,-97.42982825019098,Mayo Clinic,West Virginia
Memorial Missouri Health Center,30.028164048161628,-91.8859264534932,CommonSpirit Health,South Carolina
Regional Wisconsin Health Center,29.714244147521896,-85.69081256680217,Providence,Tennessee
Regional Tennessee Clinic,31.792851296857783,-109.16700690794836,Mayo Clinic,Alaska
St. Mississippi Clinic,35.061641296152914,-112.85304305487847,HCA Healthcare,Kentucky
Children's Massachusetts Clinic,39.301960482919284,-78.2018762909569,HCA Healthcare,Texas
Community Kansas Clinic,37.100937951154336,-110.43847570259047,Tenet Healthcare,Oregon
Community North Carolina Clinic,27.774811905410214,-113.04285375703772,CommonSpirit Health,Alabama
Regional Rhode Island Hospital,41.76285699120183,-83.21002725884655,Providence,South Carolina
St. Kansas Medical Center,37.44358052275222,-91.99519517761465,Ascension,Idaho
Community Hawaii Infirmary,26.804031931442456,-115.11611328920552,Cleveland Clinic,Nevada
Mercy North Carolina Health Center,27.293810079750624,-93.9130372568788,Tenet Healthcare,Kentucky
Children's Rhode Island Medical Center,45.14864940300494,-80.06117163193579,CommonSpirit Health,Georgia
Mercy Arizona Healthcare,33.99975914892312,-86.34445497717789,Trinity Health,Montana
University South Carolina Infirmary,31.537517377629946,-68.19896156965092,HCA Healthcare,Utah
University Hawaii Hospital,45.601020537138396,-118.6430826406756,Tenet Healthcare,South Carolina
General Illinois Health Center,46.48724813844795,-85.46497184905874,Cleveland Clinic,South Carolina
Regional Delaware Medical Center,25.309750264776497,-97.49614168046872,Mayo Clinic,Wyoming
Community North Carolina Healthcare,31.066420409319118,-114.2382099543032,Cleveland Clinic,Tennessee
Memorial Montana Clinic,33.8543438005465,-89.58723946008706,Dignity Health,Georgia
Community Connecticut Infirmary,44.390898384644096,-70.00059659938627,Providence,Alabama
University South Carolina Medical Center,25.74603977584815,-87.5692635221528,Ascension,Maryland
Children's Wyoming Medical Center,33.899842355986344,-99.55447934825325,Tenet Healthcare,Utah
Memorial Illinois Infirmary,32.393523061943625,-108.05435776454338,Tenet Healthcare,Minnesota
Memorial Vermont Medical Center,36.072765566660536,-99.06067390162818,Tenet Healthcare,Hawaii
Memorial Hawaii Health Center,39.995050069442236,-94.38940786213662,Dignity Health,Missouri
Children's Arizona Infirmary,26.80063450794604,-103.81298530186474,Advocate Aurora Health,Maryland
Children's Delaware Clinic,48.34840051963029,-74.92675328187022,Ascension,Arkansas
Mercy North Carolina Healthcare,40.17181877292101,-121.07259371550603,Advocate Aurora Health,Wyoming
General Oregon Medical Center,30.31390512067503,-82.57588119015989,Advocate Aurora Health,Illinois
Children's Washington Clinic,30.933503147962295,-123.73095866396575,Ascension,South Dakota
Community Michigan Clinic,42.55825484083284,-79.09223826234168,CommonSpirit Health,South Dakota
Community Texas Clinic,46.80116461990536,-104.31903155950947,Providence,Louisiana
St. Pennsylvania Health Center,44.910614347454455,-85.42589776756842,Providence,Alabama
Mercy Tennessee Clinic,38.84793234749705,-87.56668684214694,Trinity Health,Louisiana
Memorial Arkansas Health Center,34.574253049973095,-106.47202404862216,Advocate Aurora Health,Alabama
Mercy Iowa Infirmary,39.91992775128649,-87.01242900469009,Tenet Healthcare,Wyoming
Community New York Health Center,32.72093842651878,-92.9140836457942,Ascension,Texas
General Ohio Clinic,48.40470999528904,-121.983601158294,Mayo Clinic,Vermont
Regional Ohio Clinic,29.288976286857388,-123.04011856893652,Advocate Aurora Health,South Carolina
St. Louisiana Hospital,25.201039574022914,-117.94457642257619,Cleveland Clinic,Kansas
Community West Virginia Healthcare,32.15624964192418,-108.03598780832525,Trinity Health,Wyoming
University Hawaii Infirmary,46.51192007764397,-124.63966258851143,Ascension,Wyoming
Memorial Massachusetts Clinic,46.61300116658657,-119.56347767832024,Tenet Healthcare,West Virginia
Mercy Texas Hospital,25.014274807392454,-121.0686282302655,Providence,New Jersey
Children's Alaska Health Center,27.161434127721417,-100.95634213314138,Providence,Arizona
Mercy Nebraska Infirmary,42.67374206788453,-113.83353483339069,HCA Healthcare,Colorado
St. Mississippi Health Center,42.96645172073446,-117.47435418032215,Mayo Clinic,Connecticut
Community Delaware Clinic,47.52669353514945,-83.64710566538528,HCA Healthcare,Idaho
Memorial Virginia Hospital,28.732367028578707,-107.51248844520437,Advocate Aurora Health,Vermont
Community Arkansas Health Center,37.626999121990686,-114.83830010079285,Providence,Minnesota
Mercy Wisconsin Hospital,38.693118994786246,-75.08877378164364,CommonSpirit Health,Ohio
Memorial Wisconsin Hospital,37.579771234357054,-93.32596679398259,Dignity Health,Washington
Community Ohio Infirmary,25.986182434761034,-101.46971642065293,Tenet Healthcare,Minnesota
Mercy Georgia Infirmary,42.341505168443405,-85.32833454400895,HCA Healthcare,Maryland
Community Colorado Infirmary,40.241521333629436,-95.60100068624287,Advocate Aurora Health,Washington
General Alabama Infirmary,33.78553377561653,-73.55744398039663,Ascension,Maine
General Oregon Hospital,46.149903190626766,-102.3535276446867,Providence,Nebraska
Community Indiana Health Center,25.79648764475752,-69.08362517850523,HCA Healthcare,North Dakota
St. Wyoming Health Center,30.228662714221297,-95.18265318508143,Advocate Aurora Health,Oklahoma
St. California Infirmary,28.91288462576913,-70.33023553143407,Trinity Health,Pennsylvania
Children's Hawaii Clinic,30.537621784864932,-94.96187142837073,Tenet Healthcare,Georgia
Community Minnesota Healthcare,32.29780065825257,-93.52725299735307,Trinity Health,Iowa
Mercy Iowa Healthcare,46.314418807624904,-75.20777499179722,Ascension,Ohio
Regional West Virginia Hospital,25.144225177202994,-119.90342941930484,Trinity Health,Rhode Island
Regional Utah Clinic,25.573090858328893,-100.59892208846449,HCA Healthcare,Tennessee
Mercy Alabama Hospital,27.061207059555674,-105.87372503633623,Trinity Health,Georgia
Memorial Connecticut Medical Center,38.66358408133276,-90.50028874032176,Cleveland Clinic,Virginia
St. Wyoming Medical Center,36.186743255132676,-83.63124252471628,HCA Healthcare,Texas
Children's Oklahoma Medical Center,47.87480972065038,-104.34240041286218,CommonSpirit Health,Arizona
General Kansas Clinic,48.394263768203075,-68.64152698866826,Providence,Texas
Children's Alaska Clinic,27.794796715038437,-113.10932694629291,Advocate Aurora Health,Oregon
Mercy New Hampshire Health Center,36.324101209825564,-105.50600308588183,Advocate Aurora Health,Indiana
Mercy Maine Healthcare,36.45872821196146,-103.59335347257934,HCA Healthcare,Kansas
Community Indiana Health Center,46.63647619352242,-98.28285000055949,Dignity Health,Vermont
St. Oklahoma Health Center,43.159397260308666,-123.6578509428912,Ascension,Vermont
Community Wisconsin Hospital,40.42434809516415,-104.58847366493491,Dignity Health,Arkansas
Regional North Carolina Health Center,42.511294204450394,-70.57788926664584,Tenet Healthcare,Rhode Island
Community North Carolina Medical Center,25.04710129069155,-72.1106287449046,Tenet Healthcare,Kansas
